Origin Country,Destination Country,Intermediate Nodes,Transaction Type,Transaction Currency,Tax Treaty Applicable,Tax Evasion Risk Index
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.0
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.0
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.0
France,USA,Ireland,Acquisition,EUR,Yes,20.0
Japan,India,Singapore,Royalty,JPY,No,50.0
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.0
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,40.0
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,China,Hong Kong,Royalty,EUR,No,55.0
UK,India,Singapore,Investment,GBP,Yes,35.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.0
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,25.0
Canada,China,Hong Kong,Acquisition,CAD,No,65.0
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.0
Switzerland,Brazil,Singapore,Investment,CHF,No,50.0
USA,South Africa,Ireland,Dividend,USD,Yes,30.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,China,Singapore,Acquisition,GBP,Yes,15.0
France,South Africa,Mauritius,Royalty,EUR,No,55.0
France,South Africa,Mauritius,Royalty,EUR,No,55.58127722961988
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.0869637792801
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.979941316990626
USA,South Africa,Ireland,Dividend,USD,Yes,29.05556776038343
Canada,China,Hong Kong,Acquisition,CAD,No,65.49810505376121
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,61.565377814574994
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.509788228086453
USA,UK,Ireland,Acquisition,USD,Yes,10.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.229793502906595
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.109664749845845
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.418512199459617
France,South Africa,Mauritius,Royalty,EUR,No,56.078658182414465
UK,India,Singapore,Investment,GBP,Yes,34.802498822482036
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.33994622134868
Switzerland,Brazil,Singapore,Investment,CHF,No,51.897205422933666
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
UK,India,Singapore,Investment,GBP,Yes,34.149462044439964
UK,China,Singapore,Acquisition,GBP,Yes,13.688106247714938
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.79953075752718
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.03811160549541
Switzerland,Brazil,Singapore,Investment,CHF,No,49.264454699353294
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.3901404895373
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,30.10781877072
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.43239935152455
Switzerland,Brazil,Singapore,Investment,CHF,No,47.85369760073891
France,USA,Ireland,Acquisition,EUR,Yes,19.545941541888904
UK,India,Singapore,Investment,GBP,Yes,33.749560715383375
Japan,India,Singapore,Royalty,JPY,No,51.39547676355
Netherlands,India,Mauritius,Royalty,EUR,Yes,18.873026340930547
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.00543712851867
UK,India,Singapore,Investment,GBP,Yes,33.87063742587207
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.14271616514153
UK,India,Singapore,Investment,GBP,Yes,33.53510597589163
Canada,Mexico,Cayman Islands,Investment,CAD,No,68.56698087364694
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.68059658551532
UK,China,Singapore,Acquisition,GBP,Yes,14.14044312304723
France,South Africa,Mauritius,Royalty,EUR,No,54.87358608307245
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
France,South Africa,Mauritius,Royalty,EUR,No,56.09336858284716
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.319539389605495
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,31.345176584679447
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.782459536900417
UK,India,Singapore,Investment,GBP,Yes,35.68065969895554
USA,South Africa,Ireland,Dividend,USD,Yes,29.199434801219127
Canada,China,Hong Kong,Acquisition,CAD,No,65.1178084811225
UK,India,Singapore,Investment,GBP,Yes,33.980109431081544
Germany,China,Hong Kong,Royalty,EUR,No,56.31462570356025
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.198655377649377
Canada,China,Hong Kong,Acquisition,CAD,No,65.6754726143132
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,41.89338580918523
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.34949413942678
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,58.36916389525754
UK,China,Singapore,Acquisition,GBP,Yes,16.102625854661905
UK,China,Singapore,Acquisition,GBP,Yes,14.37059203628613
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.474329422184866
UK,India,Singapore,Investment,GBP,Yes,34.989243540278785
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.48677173783081
UK,China,Singapore,Acquisition,GBP,Yes,14.72400708454533
Japan,India,Singapore,Royalty,JPY,No,50.98313398493787
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.46030990673167
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.59166137517026
UK,India,Singapore,Investment,GBP,Yes,34.80752236001552
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.516752201775912
UK,India,Singapore,Investment,GBP,Yes,33.57040729978631
USA,UK,Ireland,Acquisition,USD,Yes,10.968368570377962
France,USA,Ireland,Acquisition,EUR,Yes,20.196331330776268
USA,UK,Ireland,Acquisition,USD,Yes,10.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
USA,UK,Ireland,Acquisition,USD,Yes,10.793423845843
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,59.21540239842578
Japan,India,Singapore,Royalty,JPY,No,51.72884481699857
UK,China,Singapore,Acquisition,GBP,Yes,14.98356183717554
France,USA,Ireland,Acquisition,EUR,Yes,19.456080192118087
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.945143692081285
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.637718201975552
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.0314440648334
UK,India,Singapore,Investment,GBP,Yes,34.468302873789206
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.98695630119426
USA,South Africa,Ireland,Dividend,USD,Yes,30.471663060033812
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.923743372466774
Germany,China,Hong Kong,Royalty,EUR,No,53.329729436024856
UK,India,Singapore,Investment,GBP,Yes,34.91474428169821
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.66681790963581
Switzerland,Brazil,Singapore,Investment,CHF,No,50.815976612232866
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.288431815591444
UK,India,Singapore,Investment,GBP,Yes,34.162531148222854
UK,China,Hong Kong,Intercompany Loan,GBP,No,63.12596955799667
Germany,China,Hong Kong,Royalty,EUR,No,55.16033032070244
UK,India,Singapore,Investment,GBP,Yes,34.887180243999566
Switzerland,Brazil,Singapore,Investment,CHF,No,49.71372747889869
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.0198540178273
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.290819276732634
Japan,India,Singapore,Royalty,JPY,No,48.70869981970861
France,USA,Ireland,Acquisition,EUR,Yes,18.85544080398492
UK,China,Singapore,Acquisition,GBP,Yes,15.198578554589476
UK,China,Singapore,Acquisition,GBP,Yes,15.763443136573269
USA,South Africa,Ireland,Dividend,USD,Yes,30.17320333890449
Germany,China,Hong Kong,Royalty,EUR,No,54.659172848634505
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.92559547552937
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.002383805919866
France,USA,Ireland,Acquisition,EUR,Yes,20.41174413756347
USA,India,Netherlands;Singapore,Investment,USD,Yes,23.98497470026076
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.1672926123873
Switzerland,Brazil,Singapore,Investment,CHF,No,49.25313069282785
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.66975794164685
France,South Africa,Mauritius,Royalty,EUR,No,54.01887869087055
France,USA,Ireland,Acquisition,EUR,Yes,22.067509788531144
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.191487012537724
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,38.7531775624585
USA,India,Netherlands;Singapore,Investment,USD,Yes,23.979752008265386
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.068162260840097
France,South Africa,Mauritius,Royalty,EUR,No,54.650944769892014
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,14.742186036574873
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.26685419732433
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,16.157393245576237
France,USA,Ireland,Acquisition,EUR,Yes,20.50838429730827
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.59485253032668
France,South Africa,Mauritius,Royalty,EUR,No,52.89516483165032
UK,China,Hong Kong,Intercompany Loan,GBP,No,65.42229176362946
France,USA,Ireland,Acquisition,EUR,Yes,19.971001133633646
Germany,Brazil,Luxembourg,Dividend,EUR,Yes,29.154945299800396
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.69936082705386
France,South Africa,Mauritius,Royalty,EUR,No,55.35176039677964
Japan,India,Singapore,Royalty,JPY,No,50.55304565309817
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.23923271163036
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,61.57209957128313
Canada,China,Hong Kong,Acquisition,CAD,No,65.38509641522215
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.93934099095375
Switzerland,Brazil,Singapore,Investment,CHF,No,49.216375153716605
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.753608210717225
UK,China,Singapore,Acquisition,GBP,Yes,14.858881126239826
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.39655238917615
Netherlands,India,Mauritius,Royalty,EUR,Yes,20.28609473403794
Japan,India,Singapore,Royalty,JPY,No,51.47012806183614
Germany,China,Hong Kong,Royalty,EUR,No,56.48762124128498
Japan,India,Singapore,Royalty,JPY,No,50.72856467584902
France,South Africa,Mauritius,Royalty,EUR,No,57.069419744164364
Netherlands,India,Mauritius,Royalty,EUR,Yes,19.929243659468455
Canada,China,Hong Kong,Acquisition,CAD,No,65.98146365818121
USA,UK,Ireland,Acquisition,USD,Yes,10.606019201338691
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,70.0
USA,UK,Ireland,Acquisition,USD,Yes,10.931402021842944
UK,India,Singapore,Investment,GBP,Yes,34.502109164559464
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.732577177610242
France,South Africa,Mauritius,Royalty,EUR,No,55.41423236662537
Canada,Mexico,Cayman Islands,Investment,CAD,No,69.42536979418189
France,USA,Ireland,Acquisition,EUR,Yes,21.653533603676077
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.41406936574979
France,USA,Ireland,Acquisition,EUR,Yes,19.777759648575067
USA,India,Netherlands;Singapore,Investment,USD,Yes,25.071771231253546
Japan,India,Singapore,Royalty,JPY,No,50.05565466076876
UK,China,Singapore,Acquisition,GBP,Yes,15.895717220263943
USA,UK,Ireland,Acquisition,USD,Yes,10.706364948432288
Netherlands,South Africa,Mauritius,Dividend,EUR,Yes,15.144487133051683
Netherlands,India,Mauritius,Royalty,EUR,Yes,21.23356262225777
USA,South Africa,Ireland,Dividend,USD,Yes,32.59147497740304
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
USA,UK,Ireland,Acquisition,USD,Yes,11.636322345513124
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.95732991540458
UK,China,Hong Kong,Intercompany Loan,GBP,No,66.12326596759968
USA,India,Netherlands;Singapore,Investment,USD,Yes,23.03215193111275
UK,China,Hong Kong,Intercompany Loan,GBP,No,67.56041518350388
USA,South Africa,Ireland,Dividend,USD,Yes,29.722386379579525
Germany,India,Luxembourg;Hong Kong,Intercompany Loan,EUR,No,68.9119547241918
Switzerland,Brazil,Singapore,Investment,CHF,No,49.931081971043504
Canada,China,Hong Kong,Acquisition,CAD,No,64.21892689344851
USA,South Africa,Ireland,Dividend,USD,Yes,29.591611230138696
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.740403930596976
Japan,USA,Ireland,Intercompany Loan,JPY,Yes,24.383114455943506
Canada,China,Hong Kong,Acquisition,CAD,No,64.93888855494362
Germany,China,Hong Kong,Royalty,EUR,No,55.97483530100936
Switzerland,India,Singapore;Hong Kong,Intercompany Loan,CHF,Yes,39.10555447128512
Japan,India,Singapore,Royalty,JPY,No,48.79167554181037
Switzerland,Brazil,Singapore,Investment,CHF,No,49.063697247995925
USA,South Africa,Ireland,Dividend,USD,Yes,29.540217377455892
USA,UK,Ireland,Acquisition,USD,Yes,10.528919608519669
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.687144400641294
UK,China,Singapore,Acquisition,GBP,Yes,16.76564553775582
UK,China,Hong Kong,Intercompany Loan,GBP,No,64.21969961264777
USA,India,Netherlands;Singapore,Investment,USD,Yes,24.874118018376794
USA,India,Netherlands;Singapore,Investment,USD,Yes,26.02190775181775
USA,UK,Ireland,Acquisition,USD,Yes,10.152259355167484
Canada,Mexico,Cayman Islands,Investment,CAD,No,70.0
France,Brazil,Luxembourg;Cayman Islands,Dividend,EUR,No,60.239550952060135
